NCTId,gpt4o_zs_gen_scores,gpt4o_ts_gen_scores,llama3_70b_it_zs_gen_scores,llama3_70b_it_ts_gen_scores
NCT02776553,"{""precision"": 0.5294117647058824, ""recall"": 0.32142857142857145, ""f1"": 0.39999999999999997}","{""precision"": 0.6, ""recall"": 0.32142857142857145, ""f1"": 0.41860465116279066}","{""precision"": 0.5555555555555556, ""recall"": 0.35714285714285715, ""f1"": 0.43478260869565216}","{""precision"": 0.5263157894736842, ""recall"": 0.35714285714285715, ""f1"": 0.425531914893617}"
NCT02790437,"{""precision"": 0.18181818181818182, ""recall"": 0.2857142857142857, ""f1"": 0.2222222222222222}","{""precision"": 0.2, ""recall"": 0.2857142857142857, ""f1"": 0.23529411764705882}","{""precision"": 0.1875, ""recall"": 0.21428571428571427, ""f1"": 0.19999999999999998}","{""precision"": 0.21428571428571427, ""recall"": 0.21428571428571427, ""f1"": 0.21428571428571427}"
NCT02809183,"{""precision"": 0.4375, ""recall"": 0.5, ""f1"": 0.4666666666666667}","{""precision"": 0.35714285714285715, ""recall"": 0.35714285714285715, ""f1"": 0.35714285714285715}","{""precision"": 0.45454545454545453, ""recall"": 0.35714285714285715, ""f1"": 0.4}","{""precision"": 0.375, ""recall"": 0.42857142857142855, ""f1"": 0.39999999999999997}"
NCT02833857,"{""precision"": 0.26666666666666666, ""recall"": 0.2222222222222222, ""f1"": 0.2424242424242424}","{""precision"": 0.29411764705882354, ""recall"": 0.2777777777777778, ""f1"": 0.28571428571428575}","{""precision"": 0.3125, ""recall"": 0.2777777777777778, ""f1"": 0.29411764705882354}","{""precision"": 0.35714285714285715, ""recall"": 0.2777777777777778, ""f1"": 0.31250000000000006}"
NCT02834663,"{""precision"": 0.15384615384615385, ""recall"": 0.25, ""f1"": 0.1904761904761905}","{""precision"": 0.21428571428571427, ""recall"": 0.375, ""f1"": 0.2727272727272727}","{""precision"": 0.36363636363636365, ""recall"": 0.5, ""f1"": 0.4210526315789474}","{""precision"": 0.4166666666666667, ""recall"": 0.625, ""f1"": 0.5}"
NCT02836873,"{""precision"": 0.5, ""recall"": 0.4666666666666667, ""f1"": 0.4827586206896552}","{""precision"": 0.47058823529411764, ""recall"": 0.5333333333333333, ""f1"": 0.5}","{""precision"": 0.5714285714285714, ""recall"": 0.5333333333333333, ""f1"": 0.5517241379310344}","{""precision"": 0.7, ""recall"": 0.4666666666666667, ""f1"": 0.56}"
NCT02846779,"{""precision"": 0.2, ""recall"": 0.11538461538461539, ""f1"": 0.14634146341463417}","{""precision"": 0.2, ""recall"": 0.15384615384615385, ""f1"": 0.17391304347826086}","{""precision"": 0.2, ""recall"": 0.11538461538461539, ""f1"": 0.14634146341463417}","{""precision"": 0.23076923076923078, ""recall"": 0.11538461538461539, ""f1"": 0.15384615384615388}"
NCT02892149,"{""precision"": 0.35, ""recall"": 0.7777777777777778, ""f1"": 0.48275862068965514}","{""precision"": 0.3157894736842105, ""recall"": 0.6666666666666666, ""f1"": 0.42857142857142855}","{""precision"": 0.29411764705882354, ""recall"": 0.5555555555555556, ""f1"": 0.3846153846153846}","{""precision"": 0.4375, ""recall"": 0.7777777777777778, ""f1"": 0.56}"
NCT03014479,"{""precision"": 0.15789473684210525, ""recall"": 0.1875, ""f1"": 0.17142857142857143}","{""precision"": 0.5, ""recall"": 0.4375, ""f1"": 0.4666666666666667}","{""precision"": 0.3076923076923077, ""recall"": 0.25, ""f1"": 0.27586206896551724}","{""precision"": 0.35714285714285715, ""recall"": 0.3125, ""f1"": 0.3333333333333333}"
NCT03028948,"{""precision"": 0.3125, ""recall"": 0.45454545454545453, ""f1"": 0.3703703703703703}","{""precision"": 0.4166666666666667, ""recall"": 0.45454545454545453, ""f1"": 0.43478260869565216}","{""precision"": 0.2631578947368421, ""recall"": 0.45454545454545453, ""f1"": 0.3333333333333333}","{""precision"": 0.3125, ""recall"": 0.45454545454545453, ""f1"": 0.3703703703703703}"
NCT03141905,"{""precision"": 0.25, ""recall"": 0.3333333333333333, ""f1"": 0.28571428571428575}","{""precision"": 0.3684210526315789, ""recall"": 0.5833333333333334, ""f1"": 0.4516129032258065}","{""precision"": 0.3076923076923077, ""recall"": 0.3333333333333333, ""f1"": 0.32}","{""precision"": 0.2857142857142857, ""recall"": 0.3333333333333333, ""f1"": 0.30769230769230765}"
NCT03195140,"{""precision"": 0.3076923076923077, ""recall"": 0.3333333333333333, ""f1"": 0.32}","{""precision"": 0.3333333333333333, ""recall"": 0.5, ""f1"": 0.4}","{""precision"": 0.45454545454545453, ""recall"": 0.4166666666666667, ""f1"": 0.43478260869565216}","{""precision"": 0.5, ""recall"": 0.5833333333333334, ""f1"": 0.5384615384615384}"
NCT03210220,"{""precision"": 0.2, ""recall"": 0.6666666666666666, ""f1"": 0.30769230769230765}","{""precision"": 0.07142857142857142, ""recall"": 0.3333333333333333, ""f1"": 0.11764705882352941}","{""precision"": 0.25, ""recall"": 0.6666666666666666, ""f1"": 0.36363636363636365}","{""precision"": 0.1, ""recall"": 0.3333333333333333, ""f1"": 0.15384615384615383}"
NCT03223649,"{""precision"": 0.14814814814814814, ""recall"": 0.2222222222222222, ""f1"": 0.17777777777777776}","{""precision"": 0.3333333333333333, ""recall"": 0.2777777777777778, ""f1"": 0.303030303030303}","{""precision"": 0.36363636363636365, ""recall"": 0.2222222222222222, ""f1"": 0.27586206896551724}","{""precision"": 0.3333333333333333, ""recall"": 0.3333333333333333, ""f1"": 0.3333333333333333}"
NCT03242252,"{""precision"": 0.26666666666666666, ""recall"": 0.26666666666666666, ""f1"": 0.26666666666666666}","{""precision"": 0.3, ""recall"": 0.4, ""f1"": 0.34285714285714286}","{""precision"": 0.35714285714285715, ""recall"": 0.3333333333333333, ""f1"": 0.3448275862068965}","{""precision"": 0.42857142857142855, ""recall"": 0.4, ""f1"": 0.4137931034482759}"
NCT03322631,"{""precision"": 0.46153846153846156, ""recall"": 0.8571428571428571, ""f1"": 0.6}","{""precision"": 0.375, ""recall"": 0.8571428571428571, ""f1"": 0.5217391304347825}","{""precision"": 0.2857142857142857, ""recall"": 0.5714285714285714, ""f1"": 0.38095238095238093}","{""precision"": 0.42857142857142855, ""recall"": 0.8571428571428571, ""f1"": 0.5714285714285714}"
NCT03371108,"{""precision"": 0.2727272727272727, ""recall"": 0.5, ""f1"": 0.3529411764705882}","{""precision"": 0.4117647058823529, ""recall"": 0.5833333333333334, ""f1"": 0.4827586206896552}","{""precision"": 0.5384615384615384, ""recall"": 0.5833333333333334, ""f1"": 0.5599999999999999}","{""precision"": 0.3684210526315789, ""recall"": 0.5833333333333334, ""f1"": 0.4516129032258065}"
NCT03394027,"{""precision"": 0.11764705882352941, ""recall"": 0.3333333333333333, ""f1"": 0.1739130434782609}","{""precision"": 0.10526315789473684, ""recall"": 0.3333333333333333, ""f1"": 0.16}","{""precision"": 0.1111111111111111, ""recall"": 0.3333333333333333, ""f1"": 0.16666666666666666}","{""precision"": 0.08, ""recall"": 0.3333333333333333, ""f1"": 0.12903225806451613}"
NCT03546270,"{""precision"": 0.36363636363636365, ""recall"": 0.25, ""f1"": 0.2962962962962963}","{""precision"": 0.4, ""recall"": 0.25, ""f1"": 0.3076923076923077}","{""precision"": 0.3333333333333333, ""recall"": 0.25, ""f1"": 0.28571428571428575}","{""precision"": 0.3333333333333333, ""recall"": 0.25, ""f1"": 0.28571428571428575}"
NCT03674112,"{""precision"": 0.23076923076923078, ""recall"": 0.5454545454545454, ""f1"": 0.3243243243243243}","{""precision"": 0.3181818181818182, ""recall"": 0.6363636363636364, ""f1"": 0.4242424242424242}","{""precision"": 0.4666666666666667, ""recall"": 0.6363636363636364, ""f1"": 0.5384615384615385}","{""precision"": 0.42857142857142855, ""recall"": 0.5454545454545454, ""f1"": 0.4799999999999999}"
NCT03675360,"{""precision"": 0.5263157894736842, ""recall"": 0.43478260869565216, ""f1"": 0.47619047619047616}","{""precision"": 0.5, ""recall"": 0.391304347826087, ""f1"": 0.4390243902439025}","{""precision"": 0.4375, ""recall"": 0.30434782608695654, ""f1"": 0.358974358974359}","{""precision"": 0.7368421052631579, ""recall"": 0.6086956521739131, ""f1"": 0.6666666666666666}"
NCT03708770,"{""precision"": 0.08, ""recall"": 0.2, ""f1"": 0.11428571428571428}","{""precision"": 0.25, ""recall"": 0.4, ""f1"": 0.3076923076923077}","{""precision"": 0.21052631578947367, ""recall"": 0.4, ""f1"": 0.27586206896551724}","{""precision"": 0.2857142857142857, ""recall"": 0.4, ""f1"": 0.3333333333333333}"
NCT03890588,"{""precision"": 0.21052631578947367, ""recall"": 0.4, ""f1"": 0.27586206896551724}","{""precision"": 0.3333333333333333, ""recall"": 0.6, ""f1"": 0.42857142857142855}","{""precision"": 0.29411764705882354, ""recall"": 0.5, ""f1"": 0.37037037037037035}","{""precision"": 0.4375, ""recall"": 0.7, ""f1"": 0.5384615384615384}"
NCT03987919,"{""precision"": 0.5, ""recall"": 0.6428571428571429, ""f1"": 0.5625000000000001}","{""precision"": 0.4117647058823529, ""recall"": 0.5, ""f1"": 0.45161290322580644}","{""precision"": 0.5, ""recall"": 0.5, ""f1"": 0.5}","{""precision"": 0.45, ""recall"": 0.6428571428571429, ""f1"": 0.5294117647058824}"
NCT04280783,nan,nan,nan,nan
NCT04392375,"{""precision"": 0.3125, ""recall"": 0.18518518518518517, ""f1"": 0.2325581395348837}","{""precision"": 0.29411764705882354, ""recall"": 0.18518518518518517, ""f1"": 0.22727272727272727}","{""precision"": 0.3888888888888889, ""recall"": 0.25925925925925924, ""f1"": 0.3111111111111111}","{""precision"": 0.25, ""recall"": 0.14814814814814814, ""f1"": 0.18604651162790697}"
NCT04823949,"{""precision"": 0.2, ""recall"": 0.36363636363636365, ""f1"": 0.25806451612903225}","{""precision"": 0.29411764705882354, ""recall"": 0.45454545454545453, ""f1"": 0.35714285714285715}","{""precision"": 0.2222222222222222, ""recall"": 0.36363636363636365, ""f1"": 0.27586206896551724}","{""precision"": 0.3125, ""recall"": 0.45454545454545453, ""f1"": 0.3703703703703703}"
